mu,mu_0,mu_1,mu_2,sigma,sigma_0,sigma_1,sigma_2
[-7.04839871e+12 -9.50679324e+12  9.06302281e+12],[ 1.80461461e+11 -4.59156560e+11],[ 7.19600730e+11 -3.74041516e+11],[-1000. -1000.],"[ 5.93007933e-01 -1.02444498e+00 -4.30117439e-05 -1.02444498e+00
  2.45464408e+00  3.61683792e-05 -4.30117439e-05  3.61683792e-05
  1.83012658e-02]",[ 0.41893146 -0.85860847 -0.85860847  2.26082628],[ 0.4217017  -0.85882488 -0.85882488  2.25786169],[-1000.     0. -1000.     0.]
[-7.78728123e+12 -1.21456964e+13  1.10302944e+13],[ 2.41465978e+11 -6.14267923e+11],[ 8.69168632e+11 -4.41069299e+11],[-1000. -1000.],"[ 6.40366656e-01 -1.03764008e+00 -1.61898776e-06 -1.03764008e+00
  2.43546094e+00 -1.01062454e-05 -1.61898776e-06 -1.01062454e-05
  1.83012577e-02]",[ 0.41891903 -0.85857686 -0.85857686  2.26074592],[ 0.42165088 -0.85880204 -0.85880204  2.25785143],[-1000.     0. -1000.     0.]
[-8.57443207e+12 -1.53048088e+13  1.33761249e+13],[ 3.15728677e+11 -8.03076907e+11],[ 1.04067414e+12 -5.16127536e+11],[-1000. -1000.],"[ 6.88212913e-01 -1.04906565e+00  4.17420732e-05 -1.04906565e+00
  2.42198188e+00 -2.93426186e-05  4.17420732e-05 -2.93426186e-05
  1.83012692e-02]",[ 0.41890662 -0.85854531 -0.85854531  2.26066571],[ 0.42160546 -0.85878212 -0.85878212  2.2578427 ],[-1000.     0. -1000.     0.]
[-9.48861739e+12 -1.90466872e+13  1.61879193e+13],[ 4.04927041e+11 -1.02984671e+12],[ 1.23670437e+12 -5.99969805e+11],[-1000. -1000.],"[ 7.36751508e-01 -1.05808982e+00  3.13201556e-06 -1.05808982e+00
  2.41017276e+00  9.96909820e-06  3.13201556e-06  9.96909820e-06
  1.83012545e-02]",[ 0.41889446 -0.85851439 -0.85851439  2.26058709],[ 0.42156497 -0.85876478 -0.85876478  2.25783527],[-1000.     0. -1000.     0.]
[-1.05466061e+13 -2.35188890e+13  1.95650377e+13],[ 5.11356348e+11 -1.30041013e+12],[ 1.46084590e+12 -6.93787149e+11],[-1000. -1000.],"[ 7.85639716e-01 -1.06563500e+00 -1.76403524e-05 -1.06563500e+00
  2.40023747e+00  2.09450100e-05 -1.76403524e-05  2.09450100e-05
  1.83012556e-02]",[ 0.41888264 -0.85848436 -0.85848436  2.26051075],[ 0.42152874 -0.8587496  -0.8587496   2.25782891],[-1000.     0. -1000.     0.]
[-1.16955070e+13 -2.89623383e+13  2.36450842e+13],[ 6.37920439e+11 -1.62214710e+12],[ 1.71779439e+12 -7.99126737e+11],[-1000. -1000.],"[ 8.34828130e-01 -1.07189947e+00 -2.44113385e-05 -1.07189947e+00
  2.39156803e+00 -1.04116600e-06 -2.44113385e-05 -1.04116600e-06
  1.83012466e-02]",[ 0.41887125 -0.8584554  -0.8584554   2.26043713],[ 0.42149621 -0.85873626 -0.85873626  2.25782344],[-1000.     0. -1000.     0.]
[-1.27275283e+13 -3.56457642e+13  2.85823322e+13],[ 7.87737945e+11 -2.00298291e+12],[ 2.01200583e+12 -9.17129276e+11],[-1000. -1000.],"[ 8.84454809e-01 -1.07581650e+00 -9.14979227e-06 -1.07581650e+00
  2.38258210e+00 -1.00787941e-05 -9.14979227e-06 -1.00787941e-05
  1.83012428e-02]",[ 0.41886031 -0.8584276  -0.8584276   2.26036646],[ 0.42146706 -0.85872456 -0.85872456  2.25781874],[-1000.     0. -1000.     0.]
[-1.34673827e+13 -4.38555944e+13  3.45536041e+13],[ 9.65164269e+11 -2.45398500e+12],[ 2.34721435e+12 -1.04808576e+12],[-1000. -1000.],"[ 9.34297611e-01 -1.07496144e+00 -3.43428845e-05 -1.07496144e+00
  2.37120413e+00  5.12765322e-08 -3.43428845e-05  5.12765322e-08
  1.83012416e-02]",[ 0.41884986 -0.85840101 -0.85840101  2.26029888],[ 0.4214413  -0.8587145  -0.8587145   2.25781481],[-1000.     0. -1000.     0.]
[-1.27549907e+13 -5.42147961e+13  4.17669360e+13],[ 1.17490061e+12 -2.98709665e+12],[ 2.72567536e+12 -1.19087178e+12],[-1000. -1000.],"[ 9.83135359e-01 -1.06657628e+00  3.85137314e-05 -1.06657628e+00
  2.35620960e+00 -1.34896659e-05  3.85137314e-05 -1.34896659e-05
  1.83012681e-02]",[ 0.4188399  -0.8583757  -0.8583757   2.26023454],[ 0.42141897 -0.85870608 -0.85870608  2.25781164],[-1000.     0. -1000.     0.]
[-9.64878475e+12 -6.72005643e+13  5.05742169e+13],[ 1.42366587e+12 -3.61938508e+12],[ 3.14206935e+12 -1.33886781e+12],[-1000. -1000.],"[ 1.02343081e+00 -1.04029324e+00 -3.38750948e-05 -1.04029324e+00
  2.33324096e+00 -2.56848449e-06 -3.38750948e-05 -2.56848449e-06
  1.83012481e-02]",[ 0.41883052 -0.85835186 -0.85835186  2.26017396],[ 0.42140098 -0.8586997  -0.8586997   2.25780938],[-1000.     0. -1000.     0.]
[-8.62440089e+11 -8.33406693e+13  6.14146676e+13],[ 1.71717381e+12 -4.36534923e+12],[ 3.57929828e+12 -1.47782195e+12],[-1000. -1000.],"[ 1.04028745e+00 -9.89688104e-01  4.88232868e-05 -9.89688104e-01
  2.30537238e+00 -4.55111505e-06  4.88232868e-05 -4.55111505e-06
  1.83012653e-02]",[ 0.41882181 -0.85832974 -0.85832974  2.26011773],[ 0.42138794 -0.8586956  -0.8586956   2.25780808],[-1000.     0. -1000.     0.]
[ 1.54130483e+13 -1.02017387e+14  7.51556746e+13],[ 2.06324141e+12 -5.24481650e+12],[ 3.98845858e+12 -1.57413961e+12],[-1000. -1000.],"[ 1.00089315e+00 -9.08666051e-01 -4.04714190e-05 -9.08666051e-01
  2.28130048e+00 -9.14682227e-06 -4.04714190e-05 -9.14682227e-06
  1.83012481e-02]",[ 0.41881395 -0.85830976 -0.85830976  2.26006695],[ 0.42138075 -0.85869396 -0.85869396  2.25780771],[-1000.     0. -1000.     0.]
[ 3.92769536e+13 -1.21613778e+14  9.28198614e+13],[ 2.46255994e+12 -6.25946599e+12],[ 4.28782476e+12 -1.57745938e+12],[-1000. -1000.],"[ 9.15165782e-01 -8.25081822e-01 -7.75075606e-05 -8.25081822e-01
  2.27920618e+00 -1.83883886e-05 -7.75075606e-05 -1.83883886e-05
  1.83012537e-02]",[ 0.41880712 -0.85829241 -0.85829241  2.26002287],[ 0.42137836 -0.85869395 -0.85869395  2.25780765],[-1000.     0. -1000.     0.]
[ 7.07264123e+13 -1.40647970e+14  1.14937194e+14],[ 2.90562377e+12 -7.38503709e+12],[ 4.38352143e+12 -1.43406885e+12],[-1000. -1000.],"[ 8.28006881e-01 -7.62740654e-01  3.04247668e-05 -7.62740654e-01
  2.30038854e+00  2.00517033e-05  3.04247668e-05  2.00517033e-05
  1.83012489e-02]",[ 0.41880166 -0.85827852 -0.85827852  2.25998759],[ 0.42137807 -0.85869402 -0.85869402  2.25780709],[-1000.     0. -1000.     0.]
[ 1.08511658e+14 -1.59081598e+14  1.42003265e+14],[ 3.37306140e+12 -8.57219547e+12],[ 4.18088592e+12 -1.09224802e+12],[-1000. -1000.],"[ 7.56686598e-01 -7.21402782e-01  6.10467262e-05 -7.21402782e-01
  2.33583859e+00  3.88685261e-05  6.10467262e-05  3.88685261e-05
  1.83012575e-02]",[ 0.41879774 -0.85826858 -0.85826858  2.25996235],[ 0.42137705 -0.85869275 -0.85869275  2.25780533],[-1000.     0. -1000.     0.]
[ 1.51235082e+14 -1.78641185e+14  1.74635974e+14],[ 3.83829964e+12 -9.75331573e+12],[ 3.60270510e+12 -5.10497234e+11],[-1000. -1000.],"[ 7.04979445e-01 -6.94160414e-01  2.32624857e-05 -6.94160414e-01
  2.37797278e+00  4.47883136e-06  2.32624857e-05  4.47883136e-06
  1.83012541e-02]",[ 0.41879524 -0.85826223 -0.85826223  2.25994623],[ 0.42137349 -0.8586894  -0.8586894   2.25780215],[-1000.     0. -1000.     0.]
[ 1.97756058e+14 -2.02168572e+14  2.13484454e+14],[ 4.27770861e+12 -1.08682790e+13],[2.60200895e+12 3.37391160e+11],[-1000. -1000.],"[ 6.71785976e-01 -6.74012667e-01 -3.57907647e-05 -6.74012667e-01
  2.42232540e+00 -3.60033237e-05 -3.57907647e-05 -3.60033237e-05
  1.83012661e-02]",[ 0.41879378 -0.85825852 -0.85825852  2.25993681],[ 0.42136698 -0.85868406 -0.85868406  2.25779775],[-1000.     0. -1000.     0.]
[ 2.50786305e+14 -2.30228546e+14  2.59349192e+14],[ 4.68012208e+12 -1.18886597e+13],[1.15517099e+12 1.46861054e+12],[-1000. -1000.],"[ 6.54332498e-01 -6.55774966e-01  7.45676784e-06 -6.55774966e-01
  2.46663948e+00  2.39204965e-05  7.45676784e-06  2.39204965e-05
  1.83012481e-02]",[ 0.41879296 -0.85825644 -0.85825644  2.25993153],[ 0.42135811 -0.85867724 -0.85867724  2.2577925 ],[-1000.     0. -1000.     0.]
[ 3.11391305e+14 -2.66355986e+14  3.14194404e+14],[ 5.04947846e+12 -1.28244124e+13],[-7.82783947e+11  2.91506600e+12],[-1000. -1000.],"[ 6.45865588e-01 -6.38038488e-01  1.84784244e-05 -6.38038488e-01
  2.51042832e+00  4.84441262e-06  1.84784244e-05  4.84441262e-06
  1.83012518e-02]",[ 0.41879249 -0.85825526 -0.85825526  2.25992854],[ 0.42134746 -0.85866937 -0.85866937  2.25778669],[-1000.     0. -1000.     0.]
[ 3.80274681e+14 -3.12808188e+14  3.79880552e+14],[ 5.38828028e+12 -1.36818435e+13],[-3.24491047e+12  4.70429353e+12],[-1000. -1000.],"[ 6.45399045e-01 -6.19234439e-01  1.54285341e-05 -6.19234439e-01
  2.55259030e+00  3.50085007e-05  1.54285341e-05  3.50085007e-05
  1.83012513e-02]",[ 0.41879222 -0.85825457 -0.85825457  2.2599268 ],[ 0.42133575 -0.85866092 -0.85866092  2.25778059],[-1000.     0. -1000.     0.]
[ 4.53834984e+14 -3.80310805e+14  4.58677466e+14],[ 5.71027552e+12 -1.44957946e+13],[-6.25897399e+12  6.86432637e+12],[-1000. -1000.],"[ 6.52860607e-01 -5.98438802e-01 -2.53044549e-05 -5.98438802e-01
  2.59129721e+00 -2.78516982e-05 -2.53044549e-05 -2.78516982e-05
  1.83012682e-02]",[ 0.41879204 -0.85825413 -0.85825413  2.25992569],[ 0.42132372 -0.85865234 -0.85865234  2.25777446],[-1000.     0. -1000.     0.]
[ 5.27030260e+14 -4.79866616e+14  5.53412681e+14],[ 6.03553055e+12 -1.53171972e+13],[-9.76452232e+12  9.38287599e+12],[-1000. -1000.],"[ 6.73575938e-01 -5.74098123e-01 -2.16400008e-05 -5.74098123e-01
  2.61986431e+00 -5.57737826e-06 -2.16400008e-05 -5.57737826e-06
  1.83012444e-02]",[ 0.4187919  -0.85825377 -0.85825377  2.25992478],[ 0.42131248 -0.85864425 -0.85864425  2.25776865],[-1000.     0. -1000.     0.]
[ 5.87873602e+14 -6.31920092e+14  6.68518009e+14],[ 6.42968058e+12 -1.63127920e+13],[-1.35966092e+13  1.22042734e+13],[-1000. -1000.],"[ 7.10075185e-01 -5.50122608e-01  2.67262731e-05 -5.50122608e-01
  2.62607232e+00  1.38329130e-05  2.67262731e-05  1.38329130e-05
  1.83012514e-02]",[ 0.41879171 -0.85825329 -0.85825329  2.25992356],[ 0.42130316 -0.85863735 -0.85863735  2.25776354],[-1000.     0. -1000.     0.]
[ 6.05529287e+14 -8.64694276e+14  8.10761633e+14],[ 7.01315858e+12 -1.77886872e+13],[-1.73363781e+13  1.51507650e+13],[-1000. -1000.],"[ 7.59291240e-01 -5.41929164e-01  5.17380444e-05 -5.41929164e-01
  2.58855118e+00  4.06658915e-05  5.17380444e-05  4.06658915e-05
  1.83012634e-02]",[ 0.41879135 -0.85825236 -0.85825236  2.25992122],[ 0.42129696 -0.8586324  -0.8586324   2.25775959],[-1000.     0. -1000.     0.]
[ 5.17444362e+14 -1.20890296e+15  9.91421663e+14],[ 8.01382609e+12 -2.03241413e+13],[-2.00667269e+13  1.78010615e+13],[-1000. -1000.],"[ 7.99020708e-01 -5.80966952e-01 -2.91710754e-05 -5.80966952e-01
  2.49011270e+00 -6.70507045e-06 -2.91710754e-05 -6.70507045e-06
  1.83012470e-02]",[ 0.41879058 -0.85825042 -0.85825042  2.25991629],[ 0.42129458 -0.85863005 -0.85863005  2.25775727],[-1000.     0. -1000.     0.]
[ 2.91668747e+14 -1.63424337e+15  1.23356854e+15],[ 9.87056512e+12 -2.50350213e+13],[-2.00989163e+13  1.93658859e+13],[-1000. -1000.],"[ 7.92979096e-01 -6.79284483e-01 -7.73991907e-05 -6.79284483e-01
  2.36739811e+00 -2.50249675e-05 -7.73991907e-05 -2.50249675e-05
  1.83012564e-02]",[ 0.41878904 -0.85824652 -0.85824652  2.25990639],[ 0.42129453 -0.85862993 -0.85862993  2.25775662],[-1000.     0. -1000.     0.]
[-2.96262903e+13 -2.08122410e+15  1.55329659e+15],[ 1.33452449e+13 -3.38585852e+13],[-1.55511766e+13  1.89171627e+13],[-1000. -1000.],"[ 7.63526230e-01 -7.76716554e-01 -6.95136511e-05 -7.76716554e-01
  2.29753137e+00 -3.52767214e-06 -6.95136511e-05 -3.52767214e-06
  1.83012530e-02]",[ 0.41878622 -0.85823935 -0.85823935  2.25988819],[ 0.42129235 -0.8586298  -0.8586298   2.25775658],[-1000.     0. -1000.     0.]
[-4.06364067e+14 -2.54552962e+15  1.94266710e+15],[ 1.91940597e+13 -4.87179756e+13],[-5.28188959e+12  1.58414997e+13],[-1000. -1000.],"[ 7.46616904e-01 -8.44906429e-01 -5.71718024e-05 -8.44906429e-01
  2.27752765e+00 -1.72205112e-06 -5.71718024e-05 -1.72205112e-06
  1.83012676e-02]",[ 0.41878181 -0.85822813 -0.85822813  2.25985969],[ 0.42128497 -0.85862769 -0.85862769  2.25775597],[-1000.     0. -1000.     0.]
[-8.07933024e+14 -3.05520824e+15  2.40068226e+15],[ 2.77465297e+13 -7.04517033e+13],[1.12905215e+13 9.80976522e+12],[-1000. -1000.],"[ 7.43446602e-01 -8.94219981e-01  2.50279503e-05 -8.94219981e-01
  2.28102759e+00 -1.60734206e-05  2.50279503e-05 -1.60734206e-05
  1.83012464e-02]",[ 0.41877617 -0.85821381 -0.85821381  2.2598233 ],[ 0.42127224 -0.85862313 -0.85862313  2.25775434],[-1000.     0. -1000.     0.]
[-1.26227916e+15 -3.63294119e+15  2.93542649e+15],[ 3.90979835e+13 -9.93026339e+13],[3.45309006e+13 6.25686657e+11],[-1000. -1000.],"[ 7.50613841e-01 -9.33237381e-01 -1.46651435e-05 -9.33237381e-01
  2.29465538e+00  1.60326978e-05 -1.46651435e-05  1.60326978e-05
  1.83012470e-02]",[ 0.41876987 -0.8581978  -0.8581978   2.25978259],[ 0.42125537 -0.85861652 -0.85861652  2.25775175],[-1000.     0. -1000.     0.]
[-1.78148062e+15 -4.31048860e+15  3.56798804e+15],[ 5.34152872e+13 -1.35695184e+14],[ 6.51704087e+13 -1.20643529e+13],[-1000. -1000.],"[ 7.62308883e-01 -9.67369773e-01 -4.06145074e-06 -9.67369773e-01
  2.31330123e+00  1.48843541e-05 -4.06145074e-06  1.48843541e-05
  1.83012437e-02]",[ 0.41876329 -0.85818107 -0.85818107  2.25974008],[ 0.42123543 -0.85860831 -0.85860831  2.25774836],[-1000.     0. -1000.     0.]
[-2.39075989e+15 -5.11316633e+15  4.32391101e+15],[ 7.09802769e+13 -1.80346106e+14],[ 1.04192804e+14 -2.87258997e+13],[-1000. -1000.],"[ 7.76819718e-01 -9.98666118e-01 -6.30135752e-06 -9.98666118e-01
  2.33471997e+00  1.74399115e-05 -6.30135752e-06  1.74399115e-05
  1.83012405e-02]",[ 0.41875664 -0.85816417 -0.85816417  2.25969711],[ 0.42121334 -0.8585989  -0.8585989   2.25774436],[-1000.     0. -1000.     0.]
[-3.14941349e+15 -6.05883314e+15  5.23362558e+15],[ 9.22579556e+13 -2.34437808e+14],[ 1.53029814e+14 -5.00421789e+13],[-1000. -1000.],"[ 7.92622413e-01 -1.02835892e+00 -4.63624599e-05 -1.02835892e+00
  2.35808435e+00  2.25061280e-05 -4.63624599e-05  2.25061280e-05
  1.83012680e-02]",[ 0.41875004 -0.85814739 -0.85814739  2.25965447],[ 0.4211897  -0.8585886  -0.8585886   2.25773987],[-1000.     0. -1000.     0.]
[-4.08332771e+15 -7.16701030e+15  6.33010369e+15],[ 1.17775399e+14 -2.99310655e+14],[ 2.13540712e+14 -7.69371129e+13],[-1000. -1000.],"[ 8.06926682e-01 -1.05726959e+00 -2.37977889e-05 -1.05726959e+00
  2.38381479e+00  2.76897603e-05 -2.37977889e-05  2.76897603e-05
  1.83012460e-02]",[ 0.41874355 -0.8581309  -0.8581309   2.25961254],[ 0.42116483 -0.85857756 -0.85857756  2.25773497],[-1000.     0. -1000.     0.]
[-5.26903637e+15 -8.45086364e+15  7.65047682e+15],[ 1.48337936e+14 -3.77012761e+14],[ 2.88144633e+14 -1.10618118e+14],[-1000. -1000.],"[ 8.19043711e-01 -1.08552059e+00 -2.54684544e-05 -1.08552059e+00
  2.41197861e+00  3.10819938e-05 -2.54684544e-05  3.10819938e-05
  1.83012423e-02]",[ 0.41873721 -0.85811478 -0.85811478  2.25957154],[ 0.42113895 -0.85856589 -0.85856589  2.2577297 ],[-1000.     0. -1000.     0.]
[-6.85409087e+15 -9.88519750e+15  9.24850931e+15],[ 1.84883299e+14 -4.69929114e+14],[ 3.80187999e+14 -1.52802459e+14],[-1000. -1000.],"[ 8.26372784e-01 -1.11307158e+00 -4.98090299e-05 -1.11307158e+00
  2.44359509e+00  3.64221145e-05 -4.98090299e-05  3.64221145e-05
  1.83012674e-02]",[ 0.41873104 -0.85809908 -0.85809908  2.25953162],[ 0.42111207 -0.85855358 -0.85855358  2.25772406],[-1000.     0. -1000.     0.]
[-9.00870053e+15 -1.13943967e+16  1.11854290e+16],[ 2.28468729e+14 -5.80749169e+14],[ 4.94219201e+14 -2.05939174e+14],[-1000. -1000.],"[ 8.22930646e-01 -1.13872733e+00 -3.20831124e-05 -1.13872733e+00
  2.48074532e+00  3.93241683e-05 -3.20831124e-05  3.93241683e-05
  1.83012475e-02]",[ 0.41872505 -0.85808386 -0.85808386  2.25949293],[ 0.42108399 -0.8585405  -0.8585405   2.25771797],[-1000.     0. -1000.     0.]
[-1.20837998e+16 -1.27505400e+16  1.35408071e+16],[ 2.80545431e+14 -7.13165368e+14],[ 6.36835933e+14 -2.73705513e+14],[-1000. -1000.],"[ 8.01328002e-01 -1.15867615e+00 -3.92374455e-05 -1.15867615e+00
  2.52476844e+00  4.85379579e-05 -3.92374455e-05  4.85379579e-05
  1.83012491e-02]",[ 0.41871929 -0.85806921 -0.85806921  2.25945567],[ 0.42105432 -0.8585264  -0.8585264   2.25771127],[-1000.     0. -1000.     0.]
[-1.65853314e+16 -1.34403900e+16  1.64444972e+16],[ 3.42760555e+14 -8.71370455e+14],[ 8.17876911e+14 -3.61868711e+14],[-1000. -1000.],"[ 7.48356922e-01 -1.16235232e+00 -4.88536183e-05 -1.16235232e+00
  2.57430887e+00  5.73551765e-05 -4.88536183e-05  5.73551765e-05
  1.83012651e-02]",[ 0.41871381 -0.85805527 -0.85805527  2.25942023],[ 0.42102242 -0.85851086 -0.85851086  2.2577037 ],[-1000.     0. -1000.     0.]
[-2.26850987e+16 -1.29413564e+16  2.01106460e+16],[ 4.16899848e+14 -1.05991390e+15],[ 1.05061235e+15 -4.78740583e+14],[-1000. -1000.],"[ 6.57121113e-01 -1.13152580e+00  1.54438344e-05 -1.13152580e+00
  2.61715061e+00 -1.91118701e-05  1.54438344e-05 -1.91118701e-05
  1.83012696e-02]",[ 0.4187087  -0.85804229 -0.85804229  2.25938722],[ 0.4209879  -0.85849349 -0.85849349  2.25769497],[-1000.     0. -1000.     0.]
[-3.04043075e+16 -1.04290950e+16  2.47891096e+16],[ 5.04155425e+14 -1.28184266e+15],[ 1.34812817e+15 -6.33326487e+14],[-1000. -1000.],"[ 5.58289617e-01 -1.06709084e+00 -9.37906781e-06 -1.06709084e+00
  2.63892080e+00  4.21141732e-05 -9.37906781e-06  4.21141732e-05
  1.83012483e-02]",[ 0.41870409 -0.85803056 -0.85803056  2.25935738],[ 0.42095126 -0.85847441 -0.85847441  2.25768503],[-1000.     0. -1000.     0.]
[-3.91933218e+16 -5.79634666e+15  3.07763657e+16],[ 6.04114802e+14 -1.53612975e+15],[ 1.71944553e+15 -8.33319121e+14],[-1000. -1000.],"[ 4.84202909e-01 -9.87428929e-01 -5.11254640e-06 -9.87428929e-01
  2.63744428e+00  5.39245408e-05 -5.11254640e-06  5.39245408e-05
  1.83012480e-02]",[ 0.41870018 -0.8580206  -0.8580206   2.25933204],[ 0.42091453 -0.85845456 -0.85845456  2.2576743 ],[-1000.     0. -1000.     0.]
[-4.87033211e+16  7.54624706e+14  3.82359781e+16],[ 7.13006892e+14 -1.81321254e+15],[ 2.16601945e+15 -1.08232152e+15],[-1000. -1000.],"[ 4.47463140e-01 -9.16148486e-01 -5.56069610e-06 -9.16148486e-01
  2.62851176e+00  6.99040301e-05 -5.56069610e-06  6.99040301e-05
  1.83012678e-02]",[ 0.41869719 -0.85801299 -0.85801299  2.2593127 ],[ 0.42088013 -0.85843531 -0.85843531  2.25766352],[-1000.     0. -1000.     0.]
[-5.90137992e+16  8.59480966e+15  4.72911927e+16],[ 8.24871774e+14 -2.09795858e+15],[ 2.68588471e+15 -1.38157858e+15],[-1000. -1000.],"[ 4.37878962e-01 -8.58454117e-01 -1.15720402e-05 -8.58454117e-01
  2.62211251e+00 -2.53599444e-06 -1.15720402e-05 -2.53599444e-06
  1.83012473e-02]",[ 0.41869517 -0.85800785 -0.85800785  2.25929961],[ 0.4208496  -0.85841766 -0.85841766  2.25765332],[-1000.     0. -1000.     0.]
[-7.05789338e+16  1.74728930e+16  5.80834124e+16],[ 9.33827937e+14 -2.37542831e+15],[ 3.27900134e+15 -1.73261557e+15],[-1000. -1000.],"[ 4.43897335e-01 -8.12318100e-01 -1.95156799e-05 -8.12318100e-01
  2.62297421e+00 -4.88781574e-05 -1.95156799e-05 -4.88781574e-05
  1.83012489e-02]",[ 0.41869393 -0.85800469 -0.85800469  2.25929155],[ 0.4208231  -0.85840192 -0.85840192  2.25764396],[-1000.     0. -1000.     0.]
[-8.39587226e+16  2.77922920e+16  7.09083579e+16],[ 1.03650855e+15 -2.63707284e+15],[ 3.95121489e+15 -2.13995118e+15],[-1000. -1000.],"[ 4.57927489e-01 -7.73701778e-01 -2.18835375e-05 -7.73701778e-01
  2.63070795e+00 -3.20526019e-05 -2.18835375e-05 -3.20526019e-05
  1.83012429e-02]",[ 0.4186932  -0.85800284 -0.85800284  2.25928684],[ 0.42080007 -0.85838791 -0.85838791  2.25763544],[-1000.     0. -1000.     0.]
[-9.96586869e+16  4.01234267e+16  8.62470176e+16],[ 1.13150539e+15 -2.87932469e+15],[ 4.71297932e+15 -2.61104356e+15],[-1000. -1000.],"[ 4.76350184e-01 -7.39318174e-01 -1.72084645e-05 -7.39318174e-01
  2.64245821e+00 -1.04546459e-05 -1.72084645e-05 -1.04546459e-05
  1.83012430e-02]",[ 0.41869279 -0.85800178 -0.85800178  2.25928414],[ 0.42077992 -0.85837541 -0.85837541  2.25762768],[-1000.     0. -1000.     0.]
[-1.18361558e+17  5.43986101e+16  1.04635523e+17],[ 1.21771329e+15 -3.09939179e+15],[ 5.57670362e+15 -3.15490400e+15],[-1000. -1000.],"[ 4.97549966e-01 -7.07448795e-01 -1.60059781e-05 -7.07448795e-01
  2.65623268e+00 -4.51711857e-05 -1.60059781e-05 -4.51711857e-05
  1.83012671e-02]",[ 0.41869256 -0.8580012  -0.8580012   2.25928265],[ 0.42076221 -0.85836422 -0.85836422  2.25762061],[-1000.     0. -1000.     0.]
[-1.40943149e+17  7.09954836e+16  1.26694147e+17],[ 1.29366157e+15 -3.29356085e+15],[ 6.56115621e+15 -3.78432129e+15],[-1000. -1000.],"[ 5.19930311e-01 -6.77604374e-01 -1.87595507e-05 -6.77604374e-01
  2.67302130e+00 -5.05251647e-05 -1.87595507e-05 -5.05251647e-05
  1.83012667e-02]",[ 0.41869244 -0.8580009  -0.8580009   2.25928187],[ 0.4207464  -0.85835407 -0.85835407  2.25761411],[-1000.     0. -1000.     0.]
[-1.68593278e+17  9.02835654e+16  1.53306180e+17],[ 1.35876687e+15 -3.46037977e+15],[ 7.69207370e+15 -4.51643577e+15],[-1000. -1000.],"[ 5.42367405e-01 -6.49330212e-01 -3.30728810e-05 -6.49330212e-01
  2.69314072e+00 -4.24857424e-05 -3.30728810e-05 -4.24857424e-05
  1.83012549e-02]",[ 0.41869238 -0.85800074 -0.85800074  2.25928149],[ 0.42073203 -0.85834475 -0.85834475  2.25760806],[-1000.     0. -1000.     0.]
[-2.01334922e+17  1.14040045e+17  1.85321677e+17],[ 1.41305691e+15 -3.59995080e+15],[ 9.00057301e+15 -5.37161709e+15],[-1000. -1000.],"[ 5.64116864e-01 -6.22251356e-01  1.64772507e-05 -6.22251356e-01
  2.71666710e+00  6.40826057e-06  1.64772507e-05  6.40826057e-06
  1.83012496e-02]",[ 0.41869235 -0.85800067 -0.85800067  2.2592813 ],[ 0.42071872 -0.85833603 -0.85833603  2.25760235],[-1000.     0. -1000.     0.]
[-2.41309568e+17  1.42552853e+17  2.24004136e+17],[ 1.45770938e+15 -3.71532390e+15],[ 1.05213822e+16 -6.37436295e+15],[-1000. -1000.],"[ 5.86329121e-01 -5.95537350e-01 -1.75956190e-05 -5.95537350e-01
  2.74045142e+00 -6.50140263e-06 -1.75956190e-05 -6.50140263e-06
  1.83012470e-02]",[ 0.41869234 -0.85800064 -0.85800064  2.25928121],[ 0.4207064  -0.85832789 -0.85832789  2.25759697],[-1000.     0. -1000.     0.]
[-2.88375086e+17  1.78115256e+17  2.70665391e+17],[ 1.48970157e+15 -3.79885946e+15],[ 1.22934993e+16 -7.55151968e+15],[-1000. -1000.],"[ 6.08458564e-01 -5.69226021e-01  1.90327316e-05 -5.69226021e-01
  2.76527569e+00  9.07599361e-06  1.90327316e-05  9.07599361e-06
  1.83012481e-02]",[ 0.41869233 -0.85800063 -0.85800063  2.25928118],[ 0.42069486 -0.85832022 -0.85832022  2.25759186],[-1000.     0. -1000.     0.]
